ID,Descripción,Fecha de verificación,Próxima Verificación,Calendario de Verificacion,Estado,Método de verificación,Error-,Error+,Resolución+,Resolución-,Patrón,ID patrón,Usuario,Linea del cliente,Formato,Status,,Fuera de Calibración,,Periodo
DUM-508,6652 Sin capacitor,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-509,6652 Sin capacitor,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-511,6652 Pza Ok Componentes,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,,,,183.00
DUM-438,6652 Pieza s/corto,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-515,6652 Hipot Moldeada,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-516,6652 Hipot Moldeada,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-517,6652 Hipot Moldeada,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-518,6652 Hipot Moldeada,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-431,6652 Cotp union 5,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-435,6652 Corto unión 9,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,,,,183.00
DUM-434,6652 Corto unión 8,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,,,,183.00
DUM-433,6652 Corto unión 7,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-432,6652 Corto unión 6,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-430,6652 Corto unión 4,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-429,6652 Corto unión 3,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-428,6652 Corto unión 2,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-437,6652 Corto unión 11,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-436,6652 Corto unión 10,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-427,6652 Corto unión 1,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,INT340,Moldeo,VAL-6652-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-512,6652 Baja Capacitancia,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,,,,183.00
DUM-513,6652 Baja Capacitancia,24/04/2021,24/10/2021,14/10/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-6652-100,NA,Calibración Aceptada,,,,183.00
DUM-1169,6652-Falta Capacitor,24/04/2021,24/10/2021,04/10/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,,,,183.00
DUM-595,6652 TP Tap,27/04/2021,27/10/2021,17/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,,,,183.00
