['DUM-158', '5060 S/CB DERECHO', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-112', '5060 S/ COMP IZQ', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-110', '5060 S/ COMP ARRIBA', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-111', '5060 S/ COMP ABAJO', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-155', '5060 PZA OK C/4 CB', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-130', '5060 PZA OK ', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-131', '5060 PZA OK ', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-132', '5060 PZA OK ', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-133', '5060 PZA OK ', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-120', '5060 Pza OK', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-216', '5060 PZA NO OK S/CIRCUITO', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NO GO', 'GO ', 'NA - NA', '6']
['DUM-215', '5060 OK C/Circuito', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NO GO', 'GO ', 'NA - NA', '6']
['DUM-114', '5060 Corto', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-115', '5060 Corto', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-116', '5060 Corto', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-117', '5060 Corto', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-118', '5060 Corto', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-119', '5060 Corto', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'GO - NO GO', '6']
['DUM-245', '5060 CB Doblado IZQ', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'N/A - NO GO', '6']
['DUM-246', '5060 CB Doblado DER', 'Baja', 'Baja', 'INTERNO', 'VAL-5060-000', 'NA', 'NA', 'NA - NO GO', '6']
